"","tax_id","stnum","stname","zip","frontfeet","depth","sqft","acres","nhood","ward","censustract","landuse","yearbuilt","units","vacantbuild","watersvc","assessedland","assessedval","citytaxable","starc","taxtrust","amtdelinqt","taxyrsdelinqt","overduewater","totint"
"1","31150010100000100080010000","484-98","SALINA ST S & ONONDAGA ST","13078",143.71,273.24,57934.9309557811,1.330003,"Downtown","09","32","Parking",0,0,NA,NA,650000,650000,650000,650000,NA,0,0,0,0
"2","31150010300000150050000000","311-17","WATER ST E TO ERIE BLVD E","13202",79.09,78.71,6209.2875127191,0.142546,"Downtown","15","32","Commercial",1950,0,"N","A",61600,112000,0,0,NA,0,0,0,0
"3","31150010300000160010000000","257","WATER ST E & MONTGOMERY S","13202",41,60,2474.54937594631,0.056808,"Downtown","09","32","Parks",0,0,"N",NA,24600,24600,0,0,NA,0,0,0,0
"4","31150010300000160020000000","251","WATER ST E TO ERIE BLVD E","14534",40.89,60,2466.5013066888,0.056623,"Downtown","09","32","Commercial",1900,0,"N","A",24000,211000,211000,211000,NA,0,0,0,0
"5","31150010300000160030000000","243-49","WATER ST E TO ERIE BLVD E","13066",41.63,60,2499.42374639834,0.057379,"Downtown","09","32","Commercial",1950,0,"N","A",24600,384000,384000,384000,NA,0,0,0,0
"6","31150010300000160040000000","239","WATER ST E TO ERIE BLVD E","13088",20.81,60,1243.83734251091,0.028555,"Downtown","09","32","Commercial",1950,0,"N","A",24000,160000,160000,160000,NA,0,0,45.64,0
"7","31150010300000160050000000","235","WATER ST E TO ERIE BLVD E","13202",20.81,60,1248.00638837814,0.02865,"Downtown","09","32","Commercial",1980,0,"N","A",24000,166000,166000,166000,NA,0,0,2.13,0
"8","31150010300000160060000000","207-33","WATER ST E TO ERIE BLVD E","13202",136.94,60,8169.09670685058,0.187537,"Downtown","09","32","Commercial",1980,0,"N","A",104400,225000,225000,225000,NA,0,0,2.41,0
"9","31150010300000160070000000","203","WATER ST E & WARREN ST S","13202",28.26,59,1694.2423123712,0.038894,"Downtown","09","32","Commercial",1940,0,"N","A",33000,396000,205000,205000,NA,0,0,323.88,0
"10","31150010400000170010000000","135","WATER ST E & WARREN ST S","13088",57.3,59.44,3390.14145568663,0.077827,"Downtown","09","32","Commercial",1887,0,"N","A",100900,3e+05,3e+05,3e+05,NA,0,0,0,0
"11","31150010400000170030010000","125-31","WATER ST E TO ERIE BLVD E","13902",62.35,59,3648.57981784143,0.08376,"Downtown","09","32","Commercial",1900,0,"N","A",91000,635000,635000,635000,NA,15106.84,2,1156.16,2468.88
"12","31150010400000170040000000","123","WATER ST E TO ERIE BLVD E","13031",21,59,1237.14975741829,0.028401,"Downtown","09","32","Commercial",1832,0,"N","A",31200,260300,139300,139300,NA,0,0,0,0
"13","31150010300000150060000000","301","WATER ST E & ERIE BLVD E","13202",180,82.65,14535.5274742093,0.33369,"Downtown","15","32","Community Services",1950,0,"N","A",147600,632000,0,0,NA,0,0,15,0
"14","31150010400000170050000000","119-21","WATER ST E TO ERIE BLVD E","13203",26.22,59,1569.88572432042,0.03604,"Downtown","09","32","Commercial",1894,0,"N","A",46000,208000,208000,208000,NA,0,0,15,0
"15","31150010400000170060000000","101-13","WATER ST E & SALINA ST S","13215",135.76,30,5976.09806570726,0.137192,"Downtown","09","32","Commercial",1900,0,"N","A",220000,6e+05,6e+05,6e+05,NA,0,0,0,0
"16","31150010400000190030030000","204","WATER ST W TO ERIE BLVD W","73154",115.28,53.88,6215.37409835402,0.142685,"Downtown","09","32","Vacant Land",NA,0,"N",NA,187000,187000,0,0,NA,0,0,0,0
"17","31150010400000190030020000","208","WATER ST W TO ERIE BLVD W","73154",346.13,55.07,18963.2218055833,0.435336,"Downtown","09","32","Commercial",1900,0,"N","A",568000,1709000,0,0,NA,0,0,0,0
"18","31150010400000200020020000","102","FRANKLIN ST S & ERIE BLVD","12202",62.9,55,3492.74986228944,0.080183,"Downtown","09","32","Vacant Land",NA,0,NA,NA,40000,40000,0,0,NA,838.7,5,0,360.32
"19","31150010400000200020010000","324","WATER ST W TO ERIE BLVD W","13202",495.45,90.5,40454.7199808865,0.928713,"Downtown","09","32","Vacant Land",NA,0,"N",NA,404000,404000,404000,404000,NA,0,0,0,0
"20","31150010400000180010000000","98","SALINA ST S & ERIE BLVD W","13202",75,260,14409.8239316883,0.330804,"Downtown","09","32","Parks",0,0,"N",NA,476800,476800,0,0,NA,0,0,0,0
"21","31150010400000010050000000","440","GENESEE ST W","13202",140,245,37769.7144940073,0.867073,"Downtown","02","21.01","Parking",0,0,"N",NA,90000,103400,103400,103400,NA,0,0,0,0
"22","31150010400000040010000000","106-24","HERALD PL & CLINTON ST N","13202",274.58,79.01,23051.6950395173,0.529194,"Downtown","09","32","Parking",0,0,"N",NA,165000,165000,165000,165000,NA,0,0,0,0
"23","31150010400000020010000000","200-10","HERALD PL & CLINTON ST N","13202",180,134.33,26406.8467747755,0.606218,"Downtown","09","32","Commercial",0,0,"N",NA,120600,220600,220600,220600,NA,0,0,0,0
"24","31150010400000020020000000","212","HERALD PL & FRANKLIN ST N","13202",120,148.33,17803.1749618178,0.408705,"Downtown","09","32","Commercial",1930,0,"N","A",88500,964000,964000,964000,NA,0,0,0,0
"25","31150009600000040060000000","240","ADAMS ST W REAR","13202",11.74,17,82.2932257385132,0.001889,"Downtown","09","32","Vacant Land",NA,0,"N",NA,200,200,0,0,NA,0,0,0,0
"26","31150009600000040010000000","251","ONONDAGA ST W","13078",68.96,51.99,2887.99112853128,0.066299,"Downtown","09","40","Vacant Land",NA,0,"N",NA,3500,3500,3500,3500,NA,5913.3,39,0,8010.95
"27","31150009600000040020000000","245-47","ONONDAGA ST W","13202",40,18,489.07478830371,0.011228,"Downtown","09","40","Vacant Land",NA,0,"N",NA,700,700,700,700,NA,6386.85,66,0,13522.48
"28","31150009600000050050000000","144","ADAMS ST W & CLINTON ST S","13202",36,120,4320.13074587793,0.099177,"Downtown","09","32","Parking",1988,0,"N",NA,25400,36000,36000,36000,NA,0,0,0,0
"29","31150009600000050040000000","580-84","SALINA ST S & ADAMS ST W","13202",61.4,132,8138.93273061147,0.186844,"Downtown","09","32","Commercial",1965,0,"N","A",90100,490000,430000,430000,NA,0,0,0,0
